oid,dataset_id,provider_name,Species,common_name,lat,lon,date,year,date_string
17819601,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.89,143,8/6/2011,2011,20110806
17819603,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41,143.3,9/11/2011,2011,20110911
17819607,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.10,143.3,8/26/2011,2011,20110826
17819610,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.29,143.3,9/7/2011,2011,20110907
17819612,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41,143.5,8/10/2011,2011,20110810
17819613,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41,143.5,8/15/2011,2011,20110815
17819614,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.10,143.6,8/12/2011,2011,20110812
17819615,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.10,143.9,9/27/2011,2011,20110927
17819616,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41,143.9,7/29/2011,2011,20110729
17819617,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.20,143.5,8/12/2011,2011,20110812
17819618,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.10,143.6,8/12/2011,2011,20110812
17819619,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.20,143.8,8/25/2011,2011,20110825
17819620,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.10,143.9,9/19/2011,2011,20110919
17819623,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,41.20,143.5,9/7/2011,2011,20110907
